substance,shortName
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFOS_A,PFOS
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFOS,PFOS
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFOSA,PFOSA
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFOS_A_BR,PFOS_BR
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFOS_A_L,PFOS_L
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFPEA,PFPEA
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFPEA_A,PFPEA
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFPES,PFPES
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFPES_A,PFPES
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFRPS_A,PFRPS
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFTEA_A,PFTEA
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFTEA,PFTEA
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFTRDA_A,PFTRDA
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFTRIA_A,PFTRIA
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFUNDA_A,PFUNDA
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFUNDA,PFUNDA
http://sawgraph.spatialai.org/v1/me-egad#parameter.SUM_OF_5_PFAS,SUM_OF_5_PFAS
http://sawgraph.spatialai.org/v1/me-egad#parameter.SUM_OF_6_PFAS,SUM_OF_6_PFAS
http://sawgraph.spatialai.org/v1/me-egad#parameter.SUM_PFOA_PFOS,SUM_PFOA_PFOS
http://sawgraph.spatialai.org/v1/me-egad#parameter.TOTAL-PFC_A,TOTAL-PFC
